"","Year","Month","Mon","Station","Gear","Catch","Effort"
"1",1998,"Apr",4,1,"Gillnet",15.492,39964
"2",1998,"Apr",4,2,"Gillnet",12.475,28309
"3",1998,"Apr",4,3,"Gillnet",24.249,34206
"4",1999,"Apr",4,1,"Gillnet",6.795,32298
"5",1999,"Apr",4,2,"Gillnet",7.062,29886
"6",1999,"Apr",4,3,"Gillnet",8.756,30078
"7",2000,"Apr",4,1,"Gillnet",11.622,37931
"8",2000,"Apr",4,2,"Gillnet",12.284,42024
"9",2000,"Apr",4,3,"Gillnet",14.792,37817
"10",2001,"Apr",4,1,"Gillnet",9.299,36097
"11",2001,"Apr",4,2,"Gillnet",9.192,39523
"12",2001,"Apr",4,3,"Gillnet",11.109,33174
"13",2002,"Apr",4,1,"Gillnet",13.942,34574
"14",2002,"Apr",4,2,"Gillnet",11.154,37307
"15",2002,"Apr",4,3,"Gillnet",13.029,30498
"16",2003,"Apr",4,1,"Gillnet",11.573,32542
"17",2003,"Apr",4,2,"Gillnet",9.292,31213
"18",2003,"Apr",4,3,"Gillnet",12.573,27652
"19",2004,"Apr",4,1,"Gillnet",24.245,45155
"20",2004,"Apr",4,2,"Gillnet",12.158,35163
"21",2004,"Apr",4,3,"Gillnet",16.167,37844
"22",2005,"Apr",4,1,"Gillnet",25.574,50611
"23",2005,"Apr",4,2,"Gillnet",8.069,32267
"24",2005,"Apr",4,3,"Gillnet",15.12,40682
"25",2006,"Apr",4,1,"Gillnet",5.457,25061
"26",2006,"Apr",4,2,"Gillnet",1.429,10767
"27",2006,"Apr",4,3,"Gillnet",9.126,24556
"28",2007,"Apr",4,1,"Gillnet",14.825,42453
"29",2007,"Apr",4,2,"Gillnet",6.199,23053
"30",2007,"Apr",4,3,"Gillnet",20.521,43685
"31",2008,"Apr",4,1,"Gillnet",10.098,40357
"32",2008,"Apr",4,2,"Gillnet",3.834,19443
"33",2008,"Apr",4,3,"Gillnet",16.276,36338
"34",2009,"Apr",4,1,"Gillnet",8.069,39624
"35",2009,"Apr",4,2,"Gillnet",1.933,16457
"36",2009,"Apr",4,3,"Gillnet",15.001,44721
"37",2010,"Apr",4,1,"Gillnet",5.017,24545
"38",2010,"Apr",4,2,"Gillnet",1.758,10613
"39",2010,"Apr",4,3,"Gillnet",10.438,38467
"40",2011,"Apr",4,1,"Gillnet",8.529,26779
"41",2011,"Apr",4,2,"Gillnet",4.16,12758
"42",2011,"Apr",4,3,"Gillnet",8.69,28385
"43",2012,"Apr",4,1,"Gillnet",15.822,46215
"44",2012,"Apr",4,2,"Gillnet",3.222,14290
"45",2012,"Apr",4,3,"Gillnet",23.168,44679
"46",2013,"Apr",4,1,"Gillnet",6.606,22728
"47",2013,"Apr",4,2,"Gillnet",1.615,3233
"48",2013,"Apr",4,3,"Gillnet",5.637,15690
"49",2014,"Apr",4,1,"Gillnet",8.736,43481
"50",2014,"Apr",4,2,"Gillnet",0.467,6384
"51",2014,"Apr",4,3,"Gillnet",8.586,36659
"52",2015,"Apr",4,1,"Gillnet",13.829,37396
"53",2015,"Apr",4,2,"Gillnet",0.102,2624
"54",2015,"Apr",4,3,"Gillnet",8.439,29265
"55",2016,"Apr",4,1,"Gillnet",14.759,34467
"56",2016,"Apr",4,2,"Gillnet",2.36,5473
"57",2016,"Apr",4,3,"Gillnet",8.907,24743
"58",2017,"Apr",4,1,"Gillnet",14.223,32166
"59",2017,"Apr",4,2,"Gillnet",5.678,8335
"60",2017,"Apr",4,3,"Gillnet",9.496,27556
"61",2018,"Apr",4,1,"Gillnet",6.617,15732
"62",2018,"Apr",4,2,"Gillnet",0.403,2046
"63",2018,"Apr",4,3,"Gillnet",3.662,14634
"64",2019,"Apr",4,1,"Gillnet",9.152,34647
"65",2019,"Apr",4,2,"Gillnet",0.48,2211
"66",2019,"Apr",4,3,"Gillnet",7.36,13553
"67",2020,"Apr",4,1,"Gillnet",6.375,25903
"68",2020,"Apr",4,2,"Gillnet",0.484,1926
"69",2020,"Apr",4,3,"Gillnet",3.804,10004
"70",1998,"Aug",8,1,"Gillnet",0.114,3224
"71",1998,"Aug",8,2,"Gillnet",0.112,3912
"72",1998,"Aug",8,3,"Gillnet",1.664,6879
"73",1999,"Aug",8,1,"Gillnet",0.199,1934
"74",1999,"Aug",8,2,"Gillnet",0.19,4566
"75",1999,"Aug",8,3,"Gillnet",4.226,8157
"76",2000,"Aug",8,1,"Gillnet",0.391,4242
"77",2000,"Aug",8,2,"Gillnet",0.102,4151
"78",2000,"Aug",8,3,"Gillnet",1.024,6454
"79",2001,"Aug",8,1,"Gillnet",0.192,3493
"80",2001,"Aug",8,2,"Gillnet",0.072,2912
"81",2001,"Aug",8,3,"Gillnet",1.239,4860
"82",2002,"Aug",8,1,"Gillnet",0.324,8979
"83",2002,"Aug",8,2,"Gillnet",0.045,1502
"84",2002,"Aug",8,3,"Gillnet",0.597,3713
"85",2003,"Aug",8,1,"Gillnet",3.663,19612
"86",2003,"Aug",8,2,"Gillnet",0.312,3720
"87",2003,"Aug",8,3,"Gillnet",4.004,6954
"88",2004,"Aug",8,1,"Gillnet",1.53,12527
"89",2004,"Aug",8,2,"Gillnet",0.052,1581
"90",2004,"Aug",8,3,"Gillnet",1.209,5754
"91",2005,"Aug",8,1,"Gillnet",1.575,19290
"92",2005,"Aug",8,2,"Gillnet",0.053,1350
"93",2005,"Aug",8,3,"Gillnet",2.848,8023
"94",2006,"Aug",8,1,"Gillnet",0.796,14432
"95",2006,"Aug",8,2,"Gillnet",0.082,1498
"96",2006,"Aug",8,3,"Gillnet",1.849,5927
"97",2007,"Aug",8,1,"Gillnet",0.496,12419
"98",2007,"Aug",8,2,"Gillnet",0.031,1108
"99",2007,"Aug",8,3,"Gillnet",1.303,7746
"100",2008,"Aug",8,1,"Gillnet",0.537,16831
"101",2008,"Aug",8,2,"Gillnet",0.043,1783
"102",2008,"Aug",8,3,"Gillnet",1.025,5884
"103",2009,"Aug",8,1,"Gillnet",0.441,11453
"104",2009,"Aug",8,2,"Gillnet",0.049,2149
"105",2009,"Aug",8,3,"Gillnet",0.728,5473
"106",2010,"Aug",8,1,"Gillnet",0.837,28131
"107",2010,"Aug",8,2,"Gillnet",0.08,3515
"108",2010,"Aug",8,3,"Gillnet",0.797,5859
"109",2011,"Aug",8,1,"Gillnet",0.798,15319
"110",2011,"Aug",8,2,"Gillnet",0.05,2214
"111",2011,"Aug",8,3,"Gillnet",1.513,6582
"112",2012,"Aug",8,1,"Gillnet",0.698,15811
"113",2012,"Aug",8,2,"Gillnet",0.153,2305
"114",2012,"Aug",8,3,"Gillnet",1.263,6717
"115",2013,"Aug",8,1,"Gillnet",0.481,11071
"116",2013,"Aug",8,2,"Gillnet",0.218,3054
"117",2013,"Aug",8,3,"Gillnet",0.697,4932
"118",2014,"Aug",8,1,"Gillnet",1.012,14291
"119",2014,"Aug",8,2,"Gillnet",0.068,2414
"120",2014,"Aug",8,3,"Gillnet",0.595,3684
"121",2015,"Aug",8,1,"Gillnet",0.223,8957
"122",2015,"Aug",8,2,"Gillnet",0.099,1916
"123",2015,"Aug",8,3,"Gillnet",0.395,2868
"124",2016,"Aug",8,1,"Gillnet",0.645,13994
"125",2016,"Aug",8,2,"Gillnet",0.031,1105
"126",2016,"Aug",8,3,"Gillnet",0.731,2756
"127",2017,"Aug",8,1,"Gillnet",0.546,8324
"128",2017,"Aug",8,2,"Gillnet",0.072,1270
"129",2017,"Aug",8,3,"Gillnet",0.446,2776
"130",2018,"Aug",8,1,"Gillnet",0.596,11342
"131",2018,"Aug",8,2,"Gillnet",0.079,2228
"132",2018,"Aug",8,3,"Gillnet",0.373,2026
"133",2019,"Aug",8,1,"Gillnet",0.25,8524
