"","...1","Year","Month","Area","Boat","Gear","Nlength","TripDays","Catch","fYear","fMon","YrMonth","order"
"1",12,1992,8,"BayofBengal","BN112","Gillnet",240,8,800,1992,8,"Aug92",12
"2",13,1992,8,"BayofBengal","BN113","Gillnet",320,8,400,1992,8,"Aug92",13
"3",14,1992,8,"BayofBengal","BN114","Gillnet",288,8,640,1992,8,"Aug92",14
"4",15,1992,8,"BayofBengal","BN115","Gillnet",132,7,640,1992,8,"Aug92",15
"5",16,1992,8,"BayofBengal","BN116","Gillnet",288,8,400,1992,8,"Aug92",16
"6",17,1992,8,"BayofBengal","BN117","Gillnet",400,8,160,1992,8,"Aug92",17
"7",18,1992,8,"BayofBengal","BN131","Gillnet",350,3,221,1992,8,"Aug92",18
"8",19,1992,8,"BayofBengal","BN132","Gillnet",300,4,256,1992,8,"Aug92",19
"9",20,1992,8,"BayofBengal","BN133","Gillnet",350,3,181,1992,8,"Aug92",20
"10",21,1992,8,"BayofBengal","BN134","Gillnet",300,4,140,1992,8,"Aug92",21
"11",22,1992,8,"BayofBengal","BN135","Gillnet",300,4,80,1992,8,"Aug92",22
"12",23,1992,8,"BayofBengal","BN136","Gillnet",150,4,140,1992,8,"Aug92",23
"13",24,1992,8,"BayofBengal","BN137","Gillnet",300,3,172,1992,8,"Aug92",24
"14",25,1992,9,"BayofBengal","BN249","Gillnet",288,8,600,1992,9,"Sep92",25
"15",26,1992,9,"BayofBengal","BN250","Gillnet",288,8,600,1992,9,"Sep92",26
"16",27,1992,9,"BayofBengal","BN251","Gillnet",288,9,360,1992,9,"Sep92",27
"17",28,1992,9,"BayofBengal","BN252","Gillnet",320,6,400,1992,9,"Sep92",28
"18",29,1992,9,"BayofBengal","BN253","Gillnet",229,6,120,1992,9,"Sep92",29
"19",30,1992,9,"BayofBengal","BN254","Gillnet",274,6,800,1992,9,"Sep92",30
"20",31,1992,9,"BayofBengal","BN255","Gillnet",45,5,120,1992,9,"Sep92",31
"21",32,1992,9,"BayofBengal","BN256","Gillnet",300,7,360,1992,9,"Sep92",32
"22",33,1992,9,"BayofBengal","BN257","Gillnet",180,6,250,1992,9,"Sep92",33
"23",34,1992,9,"BayofBengal","BN258","Gillnet",300,8,310,1992,9,"Sep92",34
"24",35,1992,9,"BayofBengal","BN259","Gillnet",300,5,320,1992,9,"Sep92",35
"25",36,1992,10,"BayofBengal","BN367","Gillnet",300,3,25,1992,10,"Oct92",36
"26",37,1992,10,"BayofBengal","BN368","Gillnet",300,5,70,1992,10,"Oct92",37
"27",38,1992,10,"BayofBengal","BN369","Gillnet",300,8,727,1992,10,"Oct92",38
